Card Number;Expiry Date;CVV2;Type;Debit/Credit;Subtype;Cardholder Name;Country Code;State;City;ZIP;Address;Phone;E-Mail;Extra Info;DOB;SSN;MMN;AT&T PIN;ATM PIN;OTP;IP address;Email password;Driver License;Last Paid Amount;User-Agent;Purchase Date;Price
340000000000009;04/31;184;AMEX;CREDIT;GOLD;CHRIS EVANS;US;TX;Dallas;75201;200 Elm St;2145550197;chris.evans@email.com;Gold member;1983-05-19;567-89-0123;Evans;9517;7536;159357;198.51.100.77;cevanspass31;I4567890;275.00;Mozilla/5.0 (iPad, CPU OS 17_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0 Mobile/15E148 Safari/604.1;2026-10-11 13:55;55.21
6011111111111117;07/32;395;DISCOVER;DEBIT;CASHBACK;KAREN SMITH;US;NV;Las Vegas;89101;300 Fremont St;7025550196;karen.smith@email.com;Cashback bonus;1991-08-07;678-90-1234;Brown;3579;1593;258147;203.0.113.88;ksmithpass32;J5678901;130.00;Mozilla/5.0 (Windows NT 10.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36;2026-11-03 17:25;46.38
4007000000027;09/29;204;VISA;CREDIT;BUSINESS;JASON TAYLOR;US;GA;Atlanta;30301;600 Peachtree St;4045550195;jason.taylor@email.com;Business rewards;1980-02-14;789-01-2345;Taylor;2583;1472;369741;198.51.100.66;jtaypass29;K6789012;800.00;Mozilla/5.0 (Macintosh, Intel Mac OS X 12_0) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/15.0 Safari/605.1.15;2026-12-19 19:05;64.12
6011000400000000;02/35;312;DISCOVER;CREDIT;IT;AMANDA BROWN;US;CO;Denver;80202;700 16th St;7205550194;amanda.brown@email.com;Preferred customer;1994-11-22;890-12-3456;Brown;9513;7532;147258;203.0.113.33;abrownpass35;L7890123;210.00;Mozilla/5.0 (Linux, Android 14, Pixel 8) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/126.0.0.0 Mobile Safari/537.36;2027-01-10 12:30;50.67
5105105105105101;03/33;258;MASTERCARD;DEBIT;STANDARD;DANIELLE WHITE;US;OR;Portland;97201;800 SW 6th Ave;5035550193;danielle.white@email.com;Student account;2000-06-15;901-23-4567;White;7532;9514;258963;198.51.100.55;dwhitepass33;M8901234;85.00;Mozilla/5.0 (iPhone, CPU iPhone OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1;2027-02-14 14:45;42.79
340000000000010;05/31;185;AMEX;CREDIT;PLATINUM;JOSHUA HARRIS;US;AZ;Phoenix;85001;900 Central Ave;6025550192;joshua.harris@email.com;Frequent flyer;1986-03-28;123-98-7654;Harris;1598;3572;951753;203.0.113.44;jharrispass31;N9012345;320.00;Mozilla/5.0 (Windows 11, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/127.0.0.0 Safari/537.36;2027-03-18 16:10;64.89
6011111111111128;08/34;396;DISCOVER;DEBIT;CASHBACK;MEGAN CLARK;US;NC;Charlotte;28202;100 Tryon St;7045550191;megan.clark@email.com;Cashback rewards;1997-10-02;234-56-7891;Clark;3571;9512;753951;198.51.100.22;mclarkpass34;O1234567;140.00;Mozilla/5.0 (Macintosh, Intel Mac OS X 15_0) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Safari/605.1.15;2027-04-22 09:35;57.34
4007000000038;11/30;205;VISA;CREDIT;BUSINESS;ETHAN WALKER;US;OH;Cleveland;44101;200 Euclid Ave;2165550190;ethan.walker@email.com;Business rewards;1989-12-17;345-67-8902;Walker;2584;1473;369742;203.0.113.11;ewalkerpass30;P2345678;900.00;Mozilla/5.0 (Linux, Android 15, SM-G998U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/128.0.0.0 Mobile Safari/537.36;2027-05-27 18:20;60.91
6011000400000001;01/36;313;DISCOVER;CREDIT;IT;OLIVIA MARTIN;US;PA;Philadelphia;19103;300 Market St;2155550189;olivia.martin@email.com;Preferred customer;1993-07-19;456-78-9013;Martin;9514;7533;147259;198.51.100.33;omartinpass36;Q3456789;220.00;Mozilla/5.0 (iPad, CPU OS 18_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/18.0 Mobile/15E148 Safari/604.1;2027-06-30 11:50;49.23
5105105105105102;04/34;259;MASTERCARD;DEBIT;STANDARD;MATTHEW LEWIS;US;MI;Detroit;48201;400 Woodward Ave;3135550188;matthew.lewis@email.com;Everyday use;1998-01-25;567-89-0124;Lewis;3572;9515;258964;203.0.113.66;mlewispass34;R4567890;95.00;Mozilla/5.0 (Windows NT 11.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36;2027-07-15 10:05;58.76
340000000000011;06/32;186;AMEX;CREDIT;GOLD;HANNAH ROBINSON;US;MN;Minneapolis;55401;500 Nicollet Mall;6125550187;hannah.robinson@email.com;Gold member;1984-08-30;678-90-1235;Robinson;9515;7534;159358;198.51.100.44;hrobinsonpass32;S5678901;285.00;Mozilla/5.0 (Macintosh, Intel Mac OS X 16_0) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/19.0 Safari/605.1.15;2027-08-19 13:15;43.51
6011111111111139;09/35;397;DISCOVER;DEBIT;CASHBACK;JACOB HALL;US;MO;Kansas City;64106;600 Grand Blvd;8165550186;jacob.hall@email.com;Cashback bonus;1995-03-12;789-01-2346;Hall;3573;9516;258965;203.0.113.77;jhallpass35;T6789012;150.00;Mozilla/5.0 (Linux, Android 16, Pixel 9) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/130.0.0.0 Mobile Safari/537.36;2027-09-23 15:30;45.68
4007000000049;12/31;206;VISA;CREDIT;BUSINESS;ABIGAIL ALLEN;US;MA;Boston;02108;700 Beacon St;6175550185;abigail.allen@email.com;Business rewards;1990-06-21;890-12-3457;Allen;2585;1474;369743;198.51.100.55;aallenpass31;U7890123;950.00;Mozilla/5.0 (iPhone, CPU iPhone OS 19_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/19.0 Mobile/15E148 Safari/604.1;2027-10-28 17:40;64.01
6011000400000002;02/37;314;DISCOVER;CREDIT;IT;BENJAMIN YOUNG;US;WI;Milwaukee;53202;800 Wisconsin Ave;4145550184;benjamin.young@email.com;Preferred customer;1996-09-14;901-23-4568;Young;9516;7535;147260;203.0.113.88;byoungpass37;V8901234;230.00;Mozilla/5.0 (Macintosh, Intel Mac OS X 17_0) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/20.0 Safari/605.1.15;2027-11-30 12:55;41.12
5105105105105103;05/35;260;MASTERCARD;DEBIT;STANDARD;ELLA KING;US;OH;Columbus;43215;900 High St;6145550183;ella.king@email.com;Student account;2002-02-18;123-45-6782;King;7533;9517;258966;198.51.100.99;ekingpass35;W9012345;100.00;Mozilla/5.0 (Windows 12, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/131.0.0.0 Safari/537.36;2027-12-15 14:10;55.99
340000000000012;07/33;187;AMEX;CREDIT;PLATINUM;SAMUEL SCOTT;US;TN;Nashville;37219;100 Broadway;6155550182;samuel.scott@email.com;Frequent flyer;1988-11-09;234-56-7892;Scott;1599;3573;951754;203.0.113.22;sscottpass33;X0123456;330.00;Mozilla/5.0 (Linux, Android 17, SM-G999U) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/132.0.0.0 Mobile Safari/537.36;2028-01-20 16:25;49.88
6011111111111140;10/36;398;DISCOVER;DEBIT;CASHBACK;GRACE GREEN;US;OK;Oklahoma City;73102;200 Park Ave;4055550181;grace.green@email.com;Cashback rewards;1999-05-27;345-67-8903;Green;3574;9518;258967;198.51.100.11;ggreenpass36;Y1234567;160.00;Mozilla/5.0 (iPad, CPU OS 19_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/19.0 Mobile/15E148 Safari/604.1;2028-02-24 10:35;52.44
4007000000050;01/32;207;VISA;CREDIT;BUSINESS;LUCAS BAKER;US;SC;Charleston;29401;300 Meeting St;8435550180;lucas.baker@email.com;Business rewards;1992-08-13;456-78-9014;Baker;2586;1475;369744;203.0.113.33;lbakerpass32;Z2345678;1000.00;Mozilla/5.0 (Macintosh, Intel Mac OS X 18_0) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/21.0 Safari/605.1.15;2028-03-29 18:50;63.11
6011000400000003;03/38;315;DISCOVER;CREDIT;IT;CHLOE ADAMS;US;KY;Louisville;40202;400 Main St;5025550179;chloe.adams@email.com;Preferred customer;1998-12-05;567-89-0125;Adams;9517;7536;147261;198.51.100.44;cadamspass38;A3456789;240.00;Mozilla/5.0 (Linux, Android 18, Pixel 10) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/133.0.0.0 Mobile Safari/537.36;2028-04-30 13:20;58.02
5105105105105104;06/36;261;MASTERCARD;DEBIT;STANDARD;HENRY WRIGHT;US;AL;Birmingham;35203;500 20th St;2055550178;henry.wright@email.com;Everyday use;2003-03-21;678-90-1236;Wright;3574;9519;258968;203.0.113.55;hwrightpass36;B4567890;105.00;Mozilla/5.0 (Windows NT 13.0, Win64, x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/134.0.0.0 Safari/537.36;2028-05-15 15:40;60.55
340000000000013;08/34;188;AMEX;CREDIT;GOLD;VICTORIA TURNER;US;LA;New Orleans;70112;600 Bourbon St;5045550177;victoria.turner@email.com;Gold member;1985-10-16;789-01-2347;Turner;9518;7537;159359;198.51.100.77;vturnerpass34;C5678901;295.00;Mozilla/5.0 (Macintosh, Intel Mac OS X 19_0) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/22.0 Safari/605.1.15;2028-06-18 17:55;41.77
6011111111111151;11/37;399;DISCOVER;DEBIT;CASHBACK;DYLAN PHILLIPS;US;UT;Salt Lake City;84101;700 Main St;8015550176;dylan.phillips@email.com;Cashback bonus;2000-07-23;890-12-3458;Phillips;3575;9520;258969;203.0.113.22;dphillipspass37;D6789012;170.00;Mozilla/5.0 (iPhone, CPU iPhone OS 20_0 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/20.0 Mobile/15E148 Safari/604.1;2028-07-23 12:45;56.23
4007000000061;02/33;208;VISA;CREDIT;BUSINESS;SAVANNAH PARKER;US;NE;Omaha;68102;800 Dodge St;4025550175;savannah.parker@email.com;Business rewards;1994-11-29;901-23-4569;Parker;2587;1476;369745;198.51.100.88;sparkerpass33;E7890123;1050.00;Mozilla/5.0 (Linux, Android 19, SM-G991U1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Mobile Safari/537.36;2028-08-27 19:10;53.77
6011000400000004;04/39;316;DISCOVER;CREDIT;IT;NATALIE COOPER;US;AR;Little Rock;72201;900 Main St;5015550174;natalie.cooper@email.com;Preferred customer;1995-02-18;123-45-6783;Cooper;9519;7538;147262;203.0.113.66;ncooperpass39;F8901234;250.00;Mozilla/5.0 (Macintosh, Intel Mac OS X 20_0) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/23.0 Safari/605.1.15;2028-09-30 14:30;50.44
